product_id,product_name,Number_of_reviews,average_rating,price,best_use,material,length,width,depth,weight,cockpit_size,seat_type,number_of_paddlers,hatch_capacity,weight_capacity,tracking_system,foldable,packed_dims,sustainability
131761,Wilderness Systems Tarpon 140 Sit-On-Top Kayak,2,4.5,1059,"Flatwater Kayaking, Fishing",Polyethylene,14 feet,28 inches,,68 pounds,,Padded / Foam,1-person,Unavailable,375 pounds,None,,,Contains recycled materials
131658,Wilderness Systems Tsunami 125 Kayak,1,5,879,Flatwater Kayaking,Polyethylene,12 ft. 9 in.,26 inches,15 inches,51 pounds,35.75 x 20 inches,Padded / Foam,1-person,Unavailable,300 pounds,None,,,Contains recycled materials
116940,Ocean Kayak Prowler Big Game II Sit-On-Top Kayak,0,0,1399.95,Fishing,Polyethylene,12 ft. 9 in.,34 inches,,70 pounds,,Mesh / Suspension,1-person,Unavailable,550-600,None,,,
116938,Old Town Predator 13 Sit-On-Top Kayak,1,5,1119.93,Fishing,Polyethylene,13 ft. 2 in.,33.5 inches,,86 pounds,,Mesh / Suspension,1-person,Unavailable,425,None,,,
116393,Aquaglide Chelan 140 HB Tandem Inflatable Kayak,0,0,999.95,Flatwater Kayaking,Duratex PVC,13 ft 5 in.,36 inches,Unavailable,40 pounds,Unavailable,Padded / Foam,2-person,,400 pounds,Tracking Fin,,Unavailable,
101139,Perception Pescador Pro 12.0 Sit-On-Top Kayak - Moss Camo,7,4,879,"Flatwater Kayaking, Fishing",Polyethylene,12 feet,32.5 inches,,64 pounds,,Mesh / Suspension,1-person,Unavailable,375 pounds,None,,,
100150,Ocean Kayak Tetra 12 Sit-On-Top Kayak,2,3.5,849.95,Flatwater Kayaking,Polyethylene,12 ft. 1 in.,28 inches,,53 pounds,,Padded / Foam,1-person,Unavailable,300-350 pounds,None,,,
100119,Eddyline Whisper CL Tandem Kayak,4,4.5,2999,Flatwater Kayaking,Carbonlite,18 feet,28 inches,14 inches,73 pounds,35 x 18.5 inches,Padded / Foam,2-person,"Bow: 3,974; stern: 5,357 cubic inches",600 pounds,Rudder,,,
100116,Eddyline Fathom Kayak,1,5,2699,Sea Kayaking,Carbonlite,16 ft. 6 in.,22 inches,13.5 inches,50 pounds,31.6 x 16.5 inches,Padded / Foam,1-person,"Bow 4,320; day: 2,074; stern: 3,802 cubic inches",340 pounds,Retractable Skeg,,,
100010,Old Town Dirigo 120,0,0,849.95,Flatwater Kayaking,Polyethylene,12 feet,27.75 inches,14 inches,50 pounds,18.5 x 38 inches,Padded / Foam,1-person,Unavailable,300-350 pounds,None,,,
