"product_id","product_name","Number_of_reviews","average_rating","price","best_use","material","length","width","depth","weight","cockpit_size","seat_type","number_of_paddlers","hatch_capacity","weight_capacity","tracking_system","foldable","packed_dims","sustainability","type","price_category"
886209,"Delta Kayaks Delta 17 Kayak",2,5,2495,"Sea Kayaking","Thermoform ABS plastic",17,22.5,"13 inches","50 pounds","32 x 17 inches","Padded / Foam","1-person","Bow: 6,006; stern: 9,702; day hatch: 416 cubic inches","410 pounds","Rudder","","211 x 26 x 17 inches","","Sea","Over 1500"
886208,"Delta Kayaks Delta 15.5 GT Kayak",3,5,2350,"Sea Kayaking","Thermoformed ABS plastic",15.6,24.25,"13.25 inches","50 pounds","32 x 17 inches","Padded / Foam","1-person","Bow: 6,006; stern: 9,702; day hatch: 416 cubic inches","400 pounds","Rudder","","","","Sea","Over 1500"
882587,"Wilderness Systems Ride 115 Sit-On-Top Kayak",1,4,767,"Flatwater Kayaking","Rotomolded polyethylene",11.6,33,"","76 pounds","","Padded / Foam","1-person","","500 pounds","None","","","","Flatwater","500-1000"
882559,"Dagger Axis 10.5 Kayak",7,4.1,695,"Flatwater Kayaking","Rotomolded polyethylene",10.6,28.5,"16 inches","50 pounds","38 x 21 inches","Padded / Foam","1-person","Unavailable","300 pounds","Retractable Skeg","","","","Flatwater","500-1000"
867740,"Advanced Elements PackLite Inflatable Kayak",7,3,299,"Flatwater Kayaking","Polyurethane-coated ripstop polyester",7.1,35,"Unavailable","4 pounds","Unavailable","Inflatable","1-person","","250 pounds","None","","11 x 11 x 5 inches","","Flatwater","Less than 500"
170835,"Wilderness Systems Tarpon 120 Sit-On-Top Kayak",0,0,999,"Flatwater Kayaking","Polyethylene plastic",12,30,"","63 pounds","","Padded / Foam","1-person","","350 pounds","None","","","","Flatwater","500-1000"
170832,"Dagger Torrent 10.0 Sit-On-Top Kayak",0,0,679,"Whitewater Kayaking","Polyethylene plastic",10.1,30.5,"","48 pounds","","Molded / Plastic","1-person","Unavailable","250 pounds","None","","","","Whitewater","500-1000"
170831,"Dagger Roam 9.5 Sit-On-Top Kayak",0,0,699,"Flatwater Kayaking","Roto-molded polyethylene",9.9,31.5,"","56 pounds","","Padded / Foam","1-person","","250 pounds","Retractable Skeg","","","","Flatwater","500-1000"
170810,"Dagger Kaos 10.2 Sit-On-Top Kayak",0,0,799,"Sea Kayaking","Polyethylene plastic",10.2,26.5,"","43 pounds","","Molded / Plastic","1-person","","250 pounds","Tracking Fin","","","","Sea","500-1000"
159607,"Hobie Quest 13 Sit-On-Top Kayak",0,0,1519,"Flatwater Kayaking, Fishing","Rotomolded polyethylene",13,28.5,"","70 lbs. 8 oz.","","Mesh / Suspension","1-person","Unavailable","350 pounds","None","","","","Fishing/Flatwater","Over 1500"
154358,"Old Town Castine 140 Kayak",0,0,1349.95,"Sea Kayaking","Rotomolded polyethylene",14,24.75,"15 inches","53 pounds","38 x 20 inches","Padded / Foam","1-person","Unavailable","375 pounds","","","","","Sea","1000-1500"
154355,"Old Town Loon 126 Kayak",4,3.8,999.95,"Flatwater Kayaking","Rotomolded polyethylene",12.6,31,"17.25 inches","57 pounds","56 x 23 inches","Padded / Foam","1-person","Unavailable","450 pounds","None","","","","Flatwater","500-1000"
153308,"Pelican Premium Sprint 140DT Kayak",1,5,1049.95,"Flatwater Kayaking","RAM-X Premium polyethylene plastic",14,25,"14 inches","55 pounds","34.5 x 18 inches","Padded / Foam","1-person","","300 pounds","None","","","","Flatwater","1000-1500"
153212,"Eddyline Sitka LT Kayak",1,5,2199,"Sea Kayaking","Carbonlite ABS Plastic",14.6,23.5,"13.5 inches","49 pounds","33.2 x 17.5 inches","Padded / Foam","1-person","Bow: 3,707; stern: 3,805 cubic inches","350 pounds","Retractable Skeg","","","","Sea","Over 1500"
153159,"Oru Kayak Haven Folding Kayak - 16'",9,2.7,1999,"Flatwater Kayaking","5mm double-layered polypropylene",16,31,"Unavailable","40 pounds","Unavailable","Padded / Foam","2-person","","500 pounds","None","Yes","33 x 30 x 15 inches","","Flatwater","Over 1500"
152846,"STAR Paragon Tandem Inflatable Kayak",0,0,765.93,"Flatwater Kayaking","PVC",15,36,"","52 pounds","","Mesh / Suspension","1-person, 2-person","","Unavailable","Tracking Fin","","Unavailable","","Flatwater","500-1000"
152699,"STAR Rival Sit-On-Top Inflatable Kayak",1,5,995,"Flatwater Kayaking, Fishing","PVC",12.6,38,"","Unavailable","","Mesh / Suspension","1-person","","Unavailable","Tracking Fin","","","","Fishing/Flatwater","500-1000"
152698,"STAR Challenger Sit-On-Top Inflatable Kayak",0,0,895,"Flatwater Kayaking, Fishing","PVC",10.8,38,"","Unavailable","","Mesh / Suspension","1-person","","Unavailable","Tracking Fin","","","","Fishing/Flatwater","500-1000"
152628,"Dagger Stratos 12.5 S Kayak",0,0,999,"Sea Kayaking","Roto-molded polyethylene",12.6,24.5,"13.5 inches","52 lbs. 8 oz. pounds","35 x 19 inches","Mesh / Suspension","1-person","Unavailable","250 pounds","Skeg / Rudder","","150 x 24.5 x 13.5 inches","","Sea","500-1000"
152627,"Dagger Stratos 12.5 L Kayak",1,5,999,"Sea Kayaking","Rotomolded polyethylene",12.6,25,"14.5 inches","53 pounds","35 x 19 inches","Mesh / Suspension","1-person","Unavailable","300 pounds","Retractable Skeg","","","","Sea","500-1000"
152626,"Perception Joyride 12.0 Kayak",0,0,749,"Flatwater Kayaking","Polyethylene",12.2,27.25,"15.25 inches","54 pounds","Unavailable","Padded / Foam","1-person","Unavailable","350 pounds","None","","","","Flatwater","500-1000"
141879,"Oru Kayak Coast XT Folding Kayak",2,4.5,2499,"Sea Kayaking","Corrugated polypropylene",16,25,"Unavailable","36 pounds","30 x 16 inches","Padded / Foam","1-person","","400 pounds","None","Yes","33 x 30 x 12 inches","Contains recycled materials","Sea","Over 1500"
133825,"Aquaglide Blackfoot Angler 110 HB Inflatable Kayak",6,3.3,799.95,"Fishing, Flatwater Kayaking","Duratex",10.6,37,"Unavailable","32 pounds","","Padded / Foam","1-person","","400 pounds","Tracking Fin","","24 x 12.5 x 19.5 inches","","Fishing/Flatwater","500-1000"
132035,"Eddyline Caribbean 12 Sit-On-Top Kayak",6,5,1499,"Flatwater Kayaking","Carbonlite ABS plastic",12,30,"","45 pounds","","Padded / Foam","1-person","Unavailable","300 pounds","None","","","","Flatwater","1000-1500"
131762,"Wilderness Systems A.T.A.K. 120 Sit-On-Top Kayak",1,5,1499,"Fishing","Polyethylene",12.3,35,"","86 pounds","","Mesh / Suspension","1-person","Unavailable","400 pounds","None","","","Contains recycled materials","Fishing","1000-1500"
131761,"Wilderness Systems Tarpon 140 Sit-On-Top Kayak",2,4.5,1059,"Flatwater Kayaking, Fishing","Polyethylene",14,28,"","68 pounds","","Padded / Foam","1-person","Unavailable","375 pounds","None","","","Contains recycled materials","Fishing/Flatwater","1000-1500"
131658,"Wilderness Systems Tsunami 125 Kayak",1,5,879,"Flatwater Kayaking","Polyethylene",12.9,26,"15 inches","51 pounds","35.75 x 20 inches","Padded / Foam","1-person","Unavailable","300 pounds","None","","","Contains recycled materials","Flatwater","500-1000"
116940,"Ocean Kayak Prowler Big Game II Sit-On-Top Kayak",0,0,1399.95,"Fishing","Polyethylene",12.9,34,"","70 pounds","","Mesh / Suspension","1-person","Unavailable","550-600","None","","","","Fishing","1000-1500"
116938,"Old Town Predator 13 Sit-On-Top Kayak",1,5,1119.93,"Fishing","Polyethylene",13.2,33.5,"","86 pounds","","Mesh / Suspension","1-person","Unavailable","425","None","","","","Fishing","1000-1500"
116393,"Aquaglide Chelan 140 HB Tandem Inflatable Kayak",0,0,999.95,"Flatwater Kayaking","Duratex PVC",13.5,36,"Unavailable","40 pounds","Unavailable","Padded / Foam","2-person","","400 pounds","Tracking Fin","","Unavailable","","Flatwater","500-1000"
101139,"Perception Pescador Pro 12.0 Sit-On-Top Kayak - Moss Camo",7,4,879,"Flatwater Kayaking, Fishing","Polyethylene",12,32.5,"","64 pounds","","Mesh / Suspension","1-person","Unavailable","375 pounds","None","","","","Fishing/Flatwater","500-1000"
100150,"Ocean Kayak Tetra 12 Sit-On-Top Kayak",2,3.5,849.95,"Flatwater Kayaking","Polyethylene",12.1,28,"","53 pounds","","Padded / Foam","1-person","Unavailable","300-350 pounds","None","","","","Flatwater","500-1000"
100119,"Eddyline Whisper CL Tandem Kayak",4,4.5,2999,"Flatwater Kayaking","Carbonlite",18,28,"14 inches","73 pounds","35 x 18.5 inches","Padded / Foam","2-person","Bow: 3,974; stern: 5,357 cubic inches","600 pounds","Rudder","","","","Flatwater","Over 1500"
100116,"Eddyline Fathom Kayak",1,5,2699,"Sea Kayaking","Carbonlite",16.6,22,"13.5 inches","50 pounds","31.6 x 16.5 inches","Padded / Foam","1-person","Bow 4,320; day: 2,074; stern: 3,802 cubic inches","340 pounds","Retractable Skeg","","","","Sea","Over 1500"
100010,"Old Town Dirigo 120",0,0,849.95,"Flatwater Kayaking","Polyethylene",12,27.75,"14 inches","50 pounds","18.5 x 38 inches","Padded / Foam","1-person","Unavailable","300-350 pounds","None","","","","Flatwater","500-1000"
